Question,Answer_choice,Correct_or_not
1. Graves eye disease (  ),A. Intermittent Eye,0
1. Graves eye disease (  ),B. Sinic sinus sinuscorea,0
1. Graves eye disease (  ),C. Spontaneous pulsation and exclusive eye,0
1. Graves eye disease (  ),D. Obstacles of thyroid dysfunction,1
1. Graves eye disease (  ),E. Thyrical dysfunction of dysfunction,0
2. The difference between the identification of inflammatory pseudotumors and Graves eye disease is (  ),"A. Adults of inflammatory pseudotumors suffer from multi-eye, Graves Eye disease adults suffer",0
2. The difference between the identification of inflammatory pseudotumors and Graves eye disease is (  ),"B. Graves Eye disease patients T3, T4, TSH are more abnormal",0
2. The difference between the identification of inflammatory pseudotumors and Graves eye disease is (  ),"C. Inflammatory pseudotumors may have a lacrimal type, and Graves eye disease rarely affects lacrimal glands causing lacrimal gland swelling and inflammation",0
2. The difference between the identification of inflammatory pseudotumors and Graves eye disease is (  ),D. Inflammatory pseudotumors will not cause exposed keratitis or even corneal ulcers,1
2. The difference between the identification of inflammatory pseudotumors and Graves eye disease is (  ),E. Graves Eye Diseases Eye Sleephis Tellets are not affected,0
3. Children's most common malignant tumors that are originally in the orbit are (  ),A. Leather-like cyst,0
3. Children's most common malignant tumors that are originally in the orbit are (  ),B. Epidermal cyst,0
3. Children's most common malignant tumors that are originally in the orbit are (  ),C. Vicious meningioma,0
3. Children's most common malignant tumors that are originally in the orbit are (  ),D. Horizontal muscle sarcoma,1
3. Children's most common malignant tumors that are originally in the orbit are (  ),E. Retinal maternal cystoma,0
4. About the treatment method for acute tendonitis is wrong (  ),A. Titanic antibiotic eye water,0
4. About the treatment method for acute tendonitis is wrong (  ),B. Application of antibiotics in the whole body,0
4. About the treatment method for acute tendonitis is wrong (  ),C. Syringing of lacrimal passages,1
4. About the treatment method for acute tendonitis is wrong (  ),D. Early hot compress therapy,0
4. About the treatment method for acute tendonitis is wrong (  ),E. The fluctuation of the abscess will cut the pus,0
5. Which of the classification of orbital disease is incorrect (  ),A. Tumor lesions,0
5. Which of the classification of orbital disease is incorrect (  ),B. Inflammation lesions,0
5. Which of the classification of orbital disease is incorrect (  ),C. Congenital abnormalities,0
5. Which of the classification of orbital disease is incorrect (  ),D. Vascular lesions,0
5. Which of the classification of orbital disease is incorrect (  ),E. cystic lesion,1
6. Eidamitis pseuda and graves eye diseases may occur (  ),A. Eye outstanding,0
6. Eidamitis pseuda and graves eye diseases may occur (  ),B. Eye muscle paralysis,0
6. Eidamitis pseuda and graves eye diseases may occur (  ),C. Ballin edema,0
6. Eidamitis pseuda and graves eye diseases may occur (  ),D. Copybolis affected,0
6. Eidamitis pseuda and graves eye diseases may occur (  ),E. above can,1
7. Patients with yellow tumors combined with blood lipid abnormalities are (  ),A.10%,0
7. Patients with yellow tumors combined with blood lipid abnormalities are (  ),B.20%,0
7. Patients with yellow tumors combined with blood lipid abnormalities are (  ),C.30%,1
7. Patients with yellow tumors combined with blood lipid abnormalities are (  ),D.50%,0
7. Patients with yellow tumors combined with blood lipid abnormalities are (  ),E.80%,0
8. The most common reason for children's eyeballs is (  ),A. Obuyotototype cyst,0
8. The most common reason for children's eyeballs is (  ),B. Obibasifier,0
8. The most common reason for children's eyeballs is (  ),C. Obilus honeycomb wovenitis,1
8. The most common reason for children's eyeballs is (  ),D. Retinal maternal cystoma,0
8. The most common reason for children's eyeballs is (  ),E. Horizontal myoid,0
9. Which of the following is not the clinical manifestation of chronic dacryoadenitis (  ),"A. Divide leaf-shaped painless block outside the eyelid, soft",0
9. Which of the following is not the clinical manifestation of chronic dacryoadenitis (  ),B. There are upper eyelid drooping,0
9. Which of the following is not the clinical manifestation of chronic dacryoadenitis (  ),C. Eyes are limited to outward and outward,0
9. Which of the following is not the clinical manifestation of chronic dacryoadenitis (  ),"D. Obvious tenderness, redness and swelling of the skin",1
9. Which of the following is not the clinical manifestation of chronic dacryoadenitis (  ),E. Frequently bilateral onset,0
10. Meig & APOS; The eyelid symptoms of S syndrome are (  ),A. Increased eyelid closure,0
10. Meig & APOS; The eyelid symptoms of S syndrome are (  ),B. Eyelidasis,1
10. Meig & APOS; The eyelid symptoms of S syndrome are (  ),C. Scarring Eye Verprration,0
10. Meig & APOS; The eyelid symptoms of S syndrome are (  ),D. Eye drooping,0
